,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
423,36047013100,5.0,94.8,8.9,3.0
424,36047013200,4.3,94.6,18.0,33.7
425,36047013300,5.0,99.8,5.3,1.9
426,36047013400,7.7,95.7,6.3,12.8
427,36047013500,4.3,98.9,8.8,1.0
428,36047013600,7.3,97.1,11.4,10.4
429,36047013700,5.0,97.9,12.5,2.4
430,36047013800,5.7,93.1,11.8,23.5
431,36047013900,3.0,98.8,8.5,4.3
432,36047014000,3.6,96.8,11.1,22.6
433,36047014100,7.9,95.5,13.9,1.9
434,36047014200,4.3,90.0,7.9,18.8
435,36047014300,5.1,96.0,10.7,9.1
436,36047014500,4.1,91.0,10.4,9.7
437,36047014700,5.7,95.0,10.0,7.4
438,36047014800,3.3,98.1,12.4,20.6
439,36047014900,2.7,95.9,8.9,4.8
440,36047015000,3.3,97.4,10.6,15.7
441,36047015100,2.2,96.2,5.6,4.4
442,36047015200,3.9,96.7,8.8,15.9
443,36047015300,2.9,95.3,2.8,1.7
444,36047015400,100.0,100.0,100.0,0.0
445,36047015500,2.5,98.7,4.2,1.3
446,36047015700,3.4,99.5,5.9,0.0
447,36047015900,3.3,97.8,6.6,0.4
448,36047016000,2.4,90.4,11.0,16.8
449,36047016100,3.2,93.7,11.7,5.8
450,36047016200,9.8,96.3,9.5,7.9
451,36047016300,3.2,93.6,11.3,5.7
452,36047016400,0.0,95.7,0.0,1.6
453,36047016500,2.6,98.2,6.1,1.0
454,36047016600,2.7,98.1,1.4,11.2
455,36047016700,2.4,97.3,2.9,1.4
456,36047016800,1.2,99.4,4.8,30.2
457,36047016900,3.5,99.1,8.1,9.7
458,36047017000,4.9,91.0,9.6,29.2
459,36047017100,3.3,96.6,5.5,2.3
460,36047017200,6.3,92.2,8.2,31.6
461,36047017400,5.4,97.3,6.3,28.3
462,36047017600,8.7,90.8,15.4,36.1
463,36047017800,5.0,85.4,11.7,42.5
464,36047017900,9.9,96.1,20.1,6.6
465,36047018000,4.9,85.6,12.9,30.2
466,36047018100,5.4,96.7,4.9,2.5
467,36047018200,5.4,91.5,14.1,42.9
468,36047018300,5.0,96.7,11.0,2.8
469,36047018400,6.2,96.1,10.8,26.9
470,36047018501,16.7,96.0,41.3,10.6
471,36047018600,4.0,90.7,14.1,30.4
472,36047018700,3.5,92.9,15.1,2.7
473,36047018800,3.8,97.4,10.4,32.9
474,36047019000,11.5,89.2,14.6,35.5
475,36047019100,1.9,96.4,20.8,2.3
476,36047019200,4.9,90.2,21.2,37.9
477,36047019300,9.7,96.1,23.4,3.2
478,36047019400,7.6,86.3,24.7,44.3
479,36047019500,4.7,97.9,8.6,0.7
480,36047019600,7.2,83.6,23.3,39.7
481,36047019700,7.0,97.6,6.8,2.4
482,36047019800,1.7,95.6,10.3,22.0
483,36047019900,5.6,97.6,13.3,5.6
484,36047020000,6.1,89.8,16.2,28.4
485,36047020100,5.5,94.9,7.0,0.7
486,36047020200,7.1,96.3,9.9,22.5
487,36047020300,6.9,97.5,11.1,5.6
488,36047020400,5.7,94.6,8.4,18.3
489,36047020500,4.1,98.6,8.7,3.4
490,36047020600,3.4,93.6,8.6,24.5
491,36047020700,1.9,90.7,3.9,0.9
492,36047020800,3.3,96.0,7.3,36.1
493,36047021000,3.5,91.5,19.5,46.0
494,36047021100,6.7,94.7,17.8,9.8
495,36047021200,10.6,90.2,18.4,45.9
496,36047021300,8.8,94.9,15.4,2.2
497,36047021400,1.7,85.3,30.1,38.5
498,36047021500,7.6,94.3,16.1,1.6
499,36047021600,6.0,92.6,22.6,28.2
500,36047021700,5.6,90.4,16.8,7.7
501,36047021800,1.8,96.1,25.9,19.2
502,36047021900,2.7,91.8,16.5,9.0
503,36047022000,7.0,95.3,45.2,25.2
