,GeoID,E_Advance,E_PreS
505,36047023600,13.9,78.5
506,36047023800,27.0,82.5
507,36047024000,22.0,60.1
508,36047024100,44.4,64.1
509,36047024200,15.3,93.2
510,36047024300,49.0,100.0
511,36047024400,19.9,76.4
512,36047024500,49.9,83.0
513,36047024600,26.7,71.8
514,36047024700,32.4,56.4
515,36047024800,21.0,83.7
516,36047024900,54.1,100.0
517,36047025000,19.2,100.0
518,36047025100,38.2,81.7
519,36047025200,31.9,73.8
520,36047025300,44.6,83.8
521,36047025400,27.8,100.0
522,36047025500,11.8,71.0
523,36047025600,21.8,23.5
524,36047025700,33.5,100.0
525,36047025800,30.3,69.6
526,36047025901,40.2,55.3
527,36047025902,5.0,73.6
528,36047026000,25.2,100.0
529,36047026200,31.3,44.8
530,36047026300,42.8,17.9
531,36047026400,19.8,63.7
532,36047026500,35.5,64.3
533,36047026600,25.0,49.6
534,36047026700,46.6,20.0
535,36047026800,27.5,100.0
536,36047026900,47.7,92.5
537,36047027000,39.6,83.3
538,36047027100,39.1,94.2
539,36047027200,23.0,62.4
540,36047027300,35.3,100.0
541,36047027400,29.9,43.0
542,36047027500,43.3,76.0
543,36047027600,26.6,25.3
544,36047027700,32.4,68.5
545,36047027800,34.1,81.5
546,36047027900,40.8,0.0
547,36047028000,30.5,45.5
548,36047028100,27.4,56.6
549,36047028200,30.2,72.9
550,36047028300,23.5,65.7
551,36047028400,34.2,0.0
552,36047028501,41.7,0.0
553,36047028502,6.8,62.7
554,36047028600,42.7,52.0
555,36047028700,30.1,29.4
556,36047028800,28.4,60.3
557,36047028900,20.3,100.0
558,36047029000,41.3,0.0
559,36047029200,33.3,49.5
560,36047029300,31.6,65.6
561,36047029400,20.1,100.0
562,36047029500,55.1,72.7
563,36047029600,43.5,22.9
564,36047029700,49.7,56.8
565,36047029800,27.1,62.9
566,36047029900,20.4,100.0
567,36047030000,26.2,86.7
568,36047030100,27.0,37.9
569,36047030200,31.3,54.8
570,36047030300,20.0,100.0
571,36047030400,27.7,33.8
572,36047030500,64.3,100.0
573,36047030600,23.3,60.0
574,36047030700,16.4,100.0
575,36047030800,31.5,27.8
576,36047030900,25.3,100.0
577,36047031100,31.4,45.8
578,36047031300,42.4,100.0
579,36047031400,31.3,100.0
580,36047031500,57.7,53.0
581,36047031701,44.6,82.4
582,36047031702,58.9,73.5
583,36047031900,43.9,100.0
584,36047032100,41.6,38.3
585,36047032300,43.3,100.0
586,36047032500,30.9,100.0
587,36047032600,20.0,76.2
588,36047032700,47.2,100.0
589,36047032800,23.3,48.1
590,36047032900,29.7,79.1
591,36047033000,19.4,20.0
592,36047033100,30.3,63.1
593,36047033300,28.9,68.2
594,36047033500,45.0,100.0
595,36047033600,46.6,48.9
596,36047033700,38.6,74.7
597,36047033900,35.9,93.3
598,36047034000,24.6,61.9
599,36047034100,33.6,0.0
600,36047034200,25.6,43.0
601,36047034300,23.6,72.4
602,36047034500,31.2,69.0
603,36047034700,34.1,100.0
604,36047034800,28.5,55.9
605,36047034900,21.7,82.9
606,36047035100,23.2,73.9
607,36047035300,28.5,69.1
608,36047035400,56.5,25.9
609,36047035500,22.4,41.4
610,36047035601,64.2,100.0
611,36047035602,53.8,100.0
612,36047035700,17.2,85.4
613,36047035900,12.0,100.0
614,36047036001,47.7,31.3
615,36047036002,50.3,52.7
616,36047036100,12.6,100.0
617,36047036200,41.9,46.6
618,36047036300,15.6,33.2
619,36047036400,46.7,22.1
620,36047036501,23.0,100.0
621,36047036502,17.2,100.0
622,36047036600,36.9,52.0
623,36047036700,22.9,63.3
624,36047036900,20.8,34.3
625,36047037000,41.8,73.7
626,36047037100,22.8,70.0
627,36047037300,31.6,73.9
628,36047037401,48.6,76.4
629,36047037402,45.0,80.9
630,36047037500,29.8,100.0
631,36047037700,33.7,79.5
632,36047037900,28.2,100.0
633,36047038100,32.2,76.0
634,36047038200,17.4,75.8
635,36047038300,40.9,15.0
636,36047038600,34.7,90.4
637,36047038700,36.3,100.0
638,36047038800,39.6,62.3
639,36047038900,33.4,100.0
640,36047039000,34.3,51.2
641,36047039100,38.8,100.0
642,36047039200,33.6,81.3
643,36047039300,42.6,46.6
644,36047039400,25.2,63.7
645,36047039500,31.7,38.6
646,36047039600,29.1,100.0
647,36047039700,29.1,72.8
648,36047039800,29.6,56.0
649,36047039900,22.3,100.0
650,36047040000,24.2,62.5
651,36047040100,34.8,21.4
652,36047040200,25.2,40.0
653,36047040300,29.3,0.0
654,36047040400,25.1,89.1
655,36047040500,39.8,27.9
656,36047040600,26.1,51.7
657,36047040800,28.9,44.9
658,36047040900,20.7,40.9
659,36047041000,29.7,88.6
660,36047041100,24.6,84.0
661,36047041200,39.0,57.1
662,36047041300,24.3,57.5
663,36047041401,29.1,41.3
664,36047041402,44.8,31.0
665,36047041500,17.4,37.5
666,36047041600,26.8,67.8
667,36047041700,13.9,77.4
668,36047041800,25.0,44.3
669,36047041900,14.2,63.7
670,36047042000,42.6,92.1
671,36047042100,26.6,66.7
672,36047042200,39.0,47.8
673,36047042300,34.6,9.3
674,36047042400,29.3,64.6
675,36047042500,47.6,50.0
676,36047042600,35.5,59.6
677,36047042700,36.5,65.1
678,36047042800,50.7,58.5
679,36047042900,32.9,80.9
680,36047043000,29.8,14.6
681,36047043100,39.2,85.4
682,36047043200,33.3,39.8
683,36047043300,16.5,63.8
684,36047043400,35.9,48.6
685,36047043500,25.7,100.0
686,36047043600,32.7,71.6
687,36047043700,40.4,63.9
688,36047043800,34.8,55.8
689,36047043900,24.4,34.0
690,36047044000,37.8,74.7
691,36047044100,32.0,91.3
692,36047044200,40.0,100.0
693,36047044300,37.2,40.0
694,36047044400,35.0,42.9
695,36047044500,32.5,100.0
696,36047044600,27.0,68.1
697,36047044700,34.6,74.3
698,36047044800,50.1,25.5
699,36047044900,21.6,62.1
700,36047045000,42.4,100.0
701,36047045200,45.3,69.6
702,36047045300,24.3,65.7
703,36047045400,49.9,71.3
704,36047045600,40.7,63.6
705,36047045800,39.7,100.0
706,36047046000,37.2,64.7
707,36047046201,46.7,100.0
708,36047046202,40.5,34.8
709,36047046400,23.3,89.3
710,36047046800,20.5,73.5
711,36047047000,18.3,78.8
712,36047047200,23.9,100.0
713,36047047400,27.4,100.0
714,36047047600,21.5,100.0
715,36047047700,72.5,100.0
716,36047047800,16.5,100.0
717,36047048000,21.0,74.5
718,36047048100,57.4,36.7
719,36047048200,42.8,40.5
720,36047048400,35.8,47.5
721,36047048500,55.4,100.0
722,36047048600,23.5,74.6
723,36047048800,40.0,81.9
724,36047048900,12.4,36.6
725,36047049000,58.2,54.8
726,36047049100,22.4,100.0
727,36047049200,38.6,53.5
728,36047049300,30.0,100.0
729,36047049400,51.0,48.9
730,36047049500,61.1,66.7
731,36047049600,45.9,68.6
732,36047049700,63.4,88.0
733,36047049800,50.9,33.7
734,36047049900,61.5,61.1
735,36047050000,58.8,53.2
736,36047050100,57.3,70.0
737,36047050202,75.9,100.0
738,36047050300,65.2,38.6
739,36047050400,63.0,65.5
740,36047050500,39.2,67.3
741,36047050600,33.4,100.0
742,36047050700,15.6,100.0
743,36047050801,21.1,68.3
744,36047050803,35.1,75.5
745,36047050804,35.0,16.3
746,36047050900,9.2,89.7
747,36047051001,24.6,46.8
748,36047051002,24.2,54.9
749,36047051100,38.7,100.0
750,36047051200,37.1,68.3
751,36047051300,56.4,100.0
752,36047051400,28.3,100.0
753,36047051500,78.4,100.0
754,36047051601,28.7,100.0
755,36047051602,26.1,77.9
756,36047051700,78.7,19.4
757,36047051800,47.3,62.1
758,36047052000,47.3,55.0
759,36047052300,49.9,100.0
760,36047052500,27.7,94.1
761,36047052600,49.5,86.2
762,36047052700,36.1,86.6
763,36047052800,59.4,61.5
764,36047052900,11.2,100.0
765,36047053000,29.3,83.6
766,36047053100,16.7,92.3
767,36047053200,50.0,53.3
768,36047053300,10.7,98.4
769,36047053400,33.5,78.2
770,36047053500,10.0,93.8
771,36047053700,7.2,97.5
772,36047053800,48.6,32.8
