GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English,E_Advance,E_PreS,NE_Tem,NE_Ozone,NE_PM25,N_HFood,N_TreeD,N_LandUseMix,T_WalkVSDrive,T_Transit,T_NodeD,MH,PH
36047025100,9.4,91.1,28.0,1.1,38.2,81.7,94.19929032258064,41.5076052287582,9.0522701369863,0.0,6.897478921380525,0.3517750012195086,0.0001188970621656,0.0214011180992313,1029.6666666666667,84.9,87.5
36047025200,13.7,88.4,14.5,37.8,31.9,73.8,93.1816417910448,41.4499483660131,8.8159602739726,0.0,4.331486982482287,0.4903896600638412,6.989909633111172e-05,0.0079588192835163,593.6363636363636,87.1,87.9
36047025300,8.5,87.4,18.4,2.7,44.6,83.8,93.995,41.5143267973856,9.063275342465753,0.0,6.851653602083136,0.3640132510440116,0.0001480127759426,0.0254629629629629,1101.625,85.1,87.6
36047025400,10.5,92.1,26.0,38.0,27.8,100.0,93.03153846153846,41.4477941176471,8.78548383561644,0.0,3.55194262047048,0.4354297921212129,9.479491258594271e-05,0.0124415584415584,588.1818181818181,86.1,86.2
36047025500,13.3,95.1,37.4,24.5,11.8,71.0,93.72083870967744,41.52235294117649,9.06992520547945,0.0,2.627225762020452,0.174219764865021,0.0001158963453364,0.0144061152489219,1258.5,80.5,79.8
36047025600,9.0,89.8,23.4,49.9,21.8,23.5,92.46647668393794,41.4479660130719,8.77523068493151,0.0,4.4276270854627455,0.5383306842478219,0.000113281892539,0.0147809025506867,573.1,85.4,84.0
36047025700,7.3,87.4,25.5,7.9,33.5,100.0,96.9296,41.543178431372496,9.058096712328767,0.0,5.698975277774074,0.3920361188837837,0.0001968274730962,0.0325668700140779,1324.3,86.1,88.9
36047025800,6.6,90.0,12.6,39.4,30.3,69.6,93.88523809523817,41.4646581699346,8.78136849315069,0.0,6.1341543517392445,0.404926465643656,7.973619031446483e-05,0.0096923114108234,556.5555555555555,85.7,86.5
36047025901,10.3,88.6,20.4,6.6,40.2,55.3,93.85689655172416,41.5398712418301,9.05429589041096,0.0,6.8091215369184255,0.417879078483348,0.0002098436365856,0.0359452736318407,1226.0,85.1,89.3
36047025902,19.9,98.6,58.7,18.5,5.0,73.6,92.10090909090916,41.5480823529412,9.05163397260274,0.0,0.474942942923979,0.242207450593221,0.0001672752320392,0.0207663059374085,1289.0,76.7,75.3
36047026000,5.5,93.4,11.3,47.7,25.2,100.0,94.0483606557378,41.4610568627451,8.80640356164383,0.0,4.32299101443054,0.5347832081129017,9.953165841476429e-05,0.0112359550561797,610.2222222222222,86.8,87.7
36047026200,6.4,92.7,11.0,36.0,31.3,44.8,94.40348837209304,41.4685810457516,8.82316767123288,0.0,7.022900303369783,0.267364387243646,0.0001595552365805,0.0157259196854816,589.1666666666666,87.5,88.1
36047026300,10.7,91.7,25.4,6.0,42.8,17.9,93.00443609022554,41.5157869281046,9.045626575342467,0.0,13.500357914365956,0.523910529293108,0.000280167655397,0.0451820128479657,1042.6,86.0,88.1
36047026400,5.8,91.1,16.9,45.8,19.8,63.7,92.78980769230772,41.474206535947694,8.79732383561644,0.0,5.61864286811487,0.4960222319469887,7.808279682204827e-05,0.0097996515679442,597.25,85.5,86.8
36047026500,5.8,90.9,15.3,3.9,35.5,64.3,93.20204545454546,41.515598039215696,9.03331397260274,0.0,8.08692795783538,0.3311291790819292,0.000114073356981,0.0226029181865554,1010.875,86.1,88.7
36047026600,2.0,91.9,10.2,49.6,25.0,49.6,94.91491803278691,41.448862091503294,8.77934767123288,0.0,5.684381573421327,0.4993635561438806,9.458515097681276e-05,0.0140786379736285,535.6666666666666,84.7,84.8
36047026700,10.9,92.9,12.6,1.7,46.6,20.0,91.46775280898872,41.4930215686274,9.03056219178082,0.0,8.065877487488335,0.1952995993173442,0.0001032569694416,0.0213151927437641,940.4444444444443,88.1,89.4
36047026800,5.0,95.5,13.0,41.4,27.5,100.0,95.36407035175888,41.45087385620911,8.76778082191781,0.0,5.24576976427792,0.2945125590615572,8.206505703517394e-05,0.0127854475992011,496.27272727272725,86.2,87.2
36047026900,9.3,92.8,19.9,0.6,47.7,92.5,92.16135135135131,41.4846091503268,9.03064410958904,0.0,6.314143586318223,0.361010809385716,0.0001460008130931,0.0312016503352243,963.5714285714286,86.9,89.0
36047027000,3.8,93.5,20.3,30.6,39.6,83.3,96.32583892617454,41.446905882352894,8.74911287671233,0.0,4.61541150165389,0.499255246877448,0.0001387356884099,0.0208831593070057,535.4285714285714,86.6,86.6
36047027100,9.6,91.3,13.7,5.0,39.1,94.2,96.2352264808363,41.5072176470588,9.00360219178082,0.0,6.737509170640211,0.458472597162661,0.0001532244384541,0.034472609543431,1073.5454545454545,87.2,89.1
36047027200,6.7,85.9,13.8,39.6,23.0,62.4,95.14594594594595,41.4538640522876,8.75766383561644,0.0,4.47126263436938,0.2212276094816483,9.694376212045828e-05,0.0148604269293924,524.7142857142857,86.6,87.5
36047027300,3.1,87.7,14.0,3.9,35.3,100.0,91.94163636363638,41.5119392156863,9.0128197260274,0.0,6.514600810865757,0.5032803346084936,0.0001522408896214,0.0287948809100604,1108.375,86.3,88.6
36047027400,3.9,89.4,12.8,35.1,29.9,43.0,94.89100000000003,41.4586287581699,8.77139068493151,0.0,3.2200118647514704,0.475032101312128,0.0001165134217681,0.0169161896374578,561.1111111111111,86.6,87.5
36047027500,3.8,90.5,17.5,3.2,43.3,76.0,92.46988764044951,41.509134640522895,9.00838630136986,0.0,6.295756245343068,0.2824065005684662,9.64867119785749e-05,0.0184742158426368,1138.2222222222222,87.4,89.6
36047027600,5.9,74.6,14.8,52.7,26.6,25.3,93.97059171597638,41.4566222222222,8.78127643835616,0.0,4.443060514837992,0.4586064566090443,9.839865578346973e-05,0.0134677855982674,623.625,84.3,84.7
36047027700,11.8,89.9,21.7,3.2,32.4,68.5,93.3968131868132,41.5344470588235,9.017614794520552,0.0,7.8102604243959215,0.2841100881188497,0.0001073572965752,0.0216413181242078,1246.5,84.5,87.0
36047027800,10.3,87.7,12.0,38.2,34.1,81.5,94.9130857142858,41.4689555555556,8.77044547945206,0.0,4.538177442084126,0.5678917432624025,0.0001106773541984,0.0139751552795031,754.8,87.6,89.2
36047027900,4.7,96.6,15.1,3.9,40.8,0.0,92.26600000000006,41.5413633986928,9.024472876712332,0.0,5.647770150170409,0.2641756528186187,0.0001117319097456,0.022795318454001,1313.0,86.7,88.9
36047028000,3.4,90.3,15.5,43.1,30.5,45.5,92.82896774193551,41.4763496732026,8.75142273972603,0.0,4.343603895130799,0.3341688527467576,0.0001955554972669,0.0187961385576377,748.8,87.1,88.2
36047028100,9.0,92.1,32.4,8.5,27.4,56.6,94.87718232044207,41.5495104575163,9.03620547945206,0.0,6.720879724106822,0.296028133577473,0.0001083835480169,0.0170522299069878,1330.125,82.6,84.2
36047028200,2.3,93.2,16.3,42.7,30.2,72.9,92.09502617801058,41.4681581699346,8.73566465753425,2.683413970588235e-05,5.723100504296214,0.3093653971948805,0.0001069133627957,0.0105643591882124,743.0909090909091,87.5,88.3
36047028300,17.2,90.0,30.6,11.2,23.5,65.7,93.41875912408764,41.553577124183,9.03666876712329,0.0,5.6455812621327945,0.3965024429590833,0.0001079040044257,0.0168415914083475,1351.0,83.1,84.5
36047028400,8.5,93.9,13.0,46.9,34.2,0.0,95.02409836065574,41.4779366013072,8.75353095890411,0.0,3.720313485128204,0.4878241656927606,8.546759745693649e-05,0.0110542093429927,733.5,86.6,88.1
36047028502,15.3,98.8,37.2,14.7,6.8,62.7,90.58318181818184,41.5480816993464,9.03680219178082,0.0,1.3503212740173542,0.506790170605869,0.0001932759726831,0.0258743754461099,1410.5,81.5,80.2
36047028600,5.5,88.4,19.1,51.2,42.7,52.0,93.9784536082474,41.457522875817,8.7263101369863,0.0240682422725036,4.893527080742963,0.2104764848664025,7.211729285793803e-05,0.006873890546512,725.2727272727273,86.6,86.0
36047028700,3.5,88.2,22.2,13.4,30.1,29.4,94.58402439024395,41.57608954248369,9.0210301369863,0.0,4.78826186189628,0.479735320876725,0.0001466977080858,0.0217622564663688,1463.6363636363635,85.3,87.3
36047028800,3.0,81.4,15.2,55.5,28.4,60.3,94.19211764705884,41.4579405228758,8.74140904109589,0.0,5.031447792430333,0.569025217847593,9.741439135232031e-05,0.0143146327356853,741.375,85.8,85.9
36047028900,6.8,93.6,29.0,10.3,20.3,100.0,94.63217391304354,41.5542862745098,9.00264575342466,0.0,6.176966017372576,0.3183895496579862,0.0001164328361829,0.0177218767665347,1527.8,84.8,86.5
36047029000,1.3,91.6,15.9,44.4,41.3,0.0,94.967558139535,41.4510784313726,8.74240657534247,0.0,3.1393209812204703,0.4716527258919293,9.130164123067876e-05,0.0126594387755102,742.875,86.8,87.4
36047029200,7.7,90.1,19.7,43.9,33.3,49.5,92.2536363636364,41.464139869281,8.71976301369863,0.0,10.735138777323382,0.2468718353966666,0.0001800085643092,0.0143757384797164,730.6,86.4,87.1
36047029300,15.5,95.7,26.1,8.7,31.6,65.6,93.10701657458569,41.5476202614379,8.99115561643836,0.0,6.792174224441561,0.4887356686351369,0.0001387899939977,0.023422408242112,1642.0,85.4,86.0
36047029400,8.7,88.7,23.9,29.3,20.1,100.0,94.29162679425836,41.464826143790894,8.70211589041096,0.0,6.002586689680029,0.37056489907377,0.0001192353084393,0.0136579060749676,760.4,86.0,82.5
36047029500,4.1,92.7,18.1,3.8,55.1,72.7,90.65358695652172,41.5439594771242,8.99419232876712,0.0,6.9587489445192094,0.1791384836376202,0.0001190094608954,0.0215085158150851,1544.4444444444443,88.0,90.2
36047029600,3.9,88.6,16.9,52.0,43.5,22.9,94.56275000000004,41.4586908496732,8.71920630136986,0.0,3.711268039480123,0.476057632733513,5.826933130251204e-05,0.0084745762711864,792.0,87.3,88.2
36047029700,1.3,92.8,15.3,6.2,49.7,56.8,92.05269565217392,41.5380411764706,8.98079890410959,0.0,9.807478041466544,0.2925155182022833,0.0001348918924373,0.0227571770334928,1409.3,87.4,89.5
